timestamp,feature,value,normal_range,type
2021-12-21 20:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 21:00:00,temperature_c,11.67,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 22:00:00,temperature_c,11.67,16.11 to 38.33 °C,Winter Cold Snap
2021-12-21 23:00:00,temperature_c,11.67,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 00:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 01:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 02:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 15:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 16:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 17:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 18:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 19:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 20:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 21:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 22:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
2021-12-22 23:00:00,temperature_c,12.22,16.11 to 38.33 °C,Winter Cold Snap
2021-12-23 18:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-12-23 19:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-12-23 20:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-12-23 21:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-23 22:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-23 23:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-12-24 18:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-24 19:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-12-24 20:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
